Solution, Implementation Cost ($), Opportunity Cost ($), Particulate Nitrogen (t/yr), Sediment Production (t/yr), Total Nitrogen, Dissolved Nitrogen (t/yr)
2988-of-13898,133764765,13157530.98,202,108651,324,122
2989-of-13898,127729036,12611256.82,202,108682,324,122
2990-of-13898,139676385,13747157.65,205,108214,322,116
2991-of-13898,80964599,7139008.22,205,109220,343,138
2992-of-13898,79324800,6983405.27,205,109238,343,138
2993-of-13898,76559738,6894115.15,205,109248,345,140
2994-of-13898,127940031,9319469.06,206,110861,327,121
2995-of-13898,126370272,9033397.68,206,110983,328,122
2996-of-13898,157247343,12573060.36,205,110315,318,113
2997-of-13898,360326176,33976336.15,192,99185,284,93
2998-of-13898,358221297,32727247.94,192,99515,286,93
2999-of-13898,113108787,9944773.94,205,109034,330,125
3000-of-13898,98810943,6338941.79,205,108264,346,141
3001-of-13898,97844098,6329017.11,205,108275,346,141
3002-of-13898,71088098,6382243.54,207,110199,346,139
3003-of-13898,156783145,13826950.97,204,110483,317,113
3004-of-13898,361189866,32737105.94,186,95981,280,94
3005-of-13898,359743716,32584026.95,186,95989,280,94
3006-of-13898,160758783,15959030.86,200,107400,318,117
3007-of-13898,104672905,7545389.3,205,110328,334,128
3008-of-13898,104478225,7523534.52,205,110396,334,128
3009-of-13898,101542138,7281409.37,205,110440,334,129
3010-of-13898,98702718,7192713.64,205,110473,337,132
3011-of-13898,42103912,2573914.25,214,110746,366,151
3012-of-13898,168595744,16787620.12,202,108921,313,111
3013-of-13898,225169465,25207770.27,202,108423,305,102
3014-of-13898,173026517,15132817.5,202,105677,319,117
3015-of-13898,171763168,15061253.09,202,105693,320,118
3016-of-13898,204175888,15195542.52,204,111083,310,106
3017-of-13898,203671632,15119885.3,204,111092,311,107
3018-of-13898,88628688,6375184.26,206,108491,346,141
3019-of-13898,278779614,23327091.44,200,107877,301,100
3020-of-13898,278071996,22976666.78,200,107877,301,100
3021-of-13898,168791959,15705691.72,202,105195,318,116
3022-of-13898,159782288,13881533.07,202,105591,323,121
3023-of-13898,145750551,12621323.22,202,105789,323,121
3024-of-13898,145069813,12596033.04,203,106043,325,122
3025-of-13898,200342973,19761556.62,201,108720,308,106
3026-of-13898,184883480,17245185.51,202,109018,310,108
3027-of-13898,176103572,13681990.2,200,105139,321,121
3028-of-13898,207353623,17009305.12,198,104815,311,113
3029-of-13898,186063845,16130657.54,199,105066,316,117
3030-of-13898,184998041,16007455.88,199,105118,316,117
3031-of-13898,183027718,15697631.78,199,105131,316,117
3032-of-13898,260378643,26334320.83,205,107840,304,99
3033-of-13898,169799490,17481970,202,105438,319,116
3034-of-13898,206092169,17110932.17,200,108224,308,108
3035-of-13898,188261957,15876790.57,201,108393,313,112
3036-of-13898,95797790,6748565.39,213,111276,341,128
3037-of-13898,72757808,6081277.32,206,109496,348,142
3038-of-13898,251466289,22960249.22,203,106762,304,101
3039-of-13898,105292430,7629179.94,206,110518,333,127
3040-of-13898,237021610,23445191.08,201,109082,303,102
3041-of-13898,234489637,22359023.03,202,109428,304,102
3042-of-13898,232850000,22329630.24,202,109437,304,102
3043-of-13898,238979196,23404498.89,198,105222,301,103
3044-of-13898,228941889,22396740.68,198,105269,303,104
3045-of-13898,219745000,19645475.83,198,105315,303,105
3046-of-13898,108560211,8568677.11,211,110546,333,122
3047-of-13898,107851755,8519178.48,211,110549,335,124
3048-of-13898,158979191,14814117.99,202,109563,314,112
3049-of-13898,150287306,13670416.12,203,110146,316,113
3050-of-13898,142852894,13075418.52,203,110259,318,115
3051-of-13898,226764881,19804097.48,203,110152,305,103
3052-of-13898,225614130,19716806.55,203,110164,305,103
3053-of-13898,225440861,19700369.47,203,110194,306,103
3054-of-13898,295286526,24927137.66,200,105808,299,99
3055-of-13898,159020967,11691443.13,205,110751,319,113
3056-of-13898,223928433,21489372.42,204,110816,305,102
3057-of-13898,114987744,9939019.94,202,106901,341,139
3058-of-13898,318269081,32179826.7,189,97132,291,102
3059-of-13898,131161586,10097591.81,206,106148,336,130
3060-of-13898,171626127,15199939.16,200,103950,323,123
3061-of-13898,169614641,15059284.57,200,104043,323,123
3062-of-13898,252237091,22056704.8,202,109500,303,101
3063-of-13898,250753649,21692903.84,202,109546,303,102
3064-of-13898,132384749,11643332.8,201,107818,325,124
3065-of-13898,142003095,12487962.65,200,107069,325,125
3066-of-13898,167292718,14527385.14,202,106514,314,112
3067-of-13898,166815896,14508473.11,203,107270,316,112
3068-of-13898,158986750,13441564.06,206,108197,321,116
3069-of-13898,159652982,15659889.61,201,104834,323,122
3070-of-13898,145554800,14271290.07,201,105029,327,125
3071-of-13898,153840886,12704670.52,210,110186,323,113
3072-of-13898,291410988,26391498.24,195,101551,297,102
3073-of-13898,99436341,8869512.52,204,107334,346,142
3074-of-13898,97664533,8764382.11,204,107382,348,144
3075-of-13898,97421782,8728021.99,204,107382,348,144
3076-of-13898,97386806,8726761.4,204,107382,348,144
3077-of-13898,91950911,8615080.3,205,107537,349,145
3078-of-13898,144691131,12346693.57,201,105163,329,128
3079-of-13898,274539723,26718962.69,196,103323,297,100
3080-of-13898,270297738,26589953.23,197,103481,298,101
3081-of-13898,262243116,19752040.72,207,110184,309,101
3082-of-13898,216380754,17100591.09,207,110416,312,104
3083-of-13898,162754350,13584607.65,202,104671,324,122
3084-of-13898,77298845,5289321.22,206,109093,349,143
3085-of-13898,67739259,5373859.24,208,110739,347,139
3086-of-13898,67370079,5347153.73,208,110829,348,140
3087-of-13898,65400352,5135017.64,209,110969,350,141
3088-of-13898,257160590,25926938.21,192,98971,298,106
3089-of-13898,124064692,8447627.05,207,107179,337,130
3090-of-13898,106406798,7614058.66,208,108359,340,131
3091-of-13898,117470251,9190276.96,203,109513,329,126
3092-of-13898,306317381,32757613.4,195,101819,293,98
3093-of-13898,223467665,19514634.19,199,104194,307,109
3094-of-13898,91650894,6788131.58,211,110947,340,129
3095-of-13898,91548439,6787190.84,211,111082,341,129
3096-of-13898,88785621,6561502.77,211,111121,341,130
3097-of-13898,175972055,14202167.26,210,109782,320,110
3098-of-13898,174885171,14178625.25,210,109790,320,110
3099-of-13898,173819368,14055423.59,210,109803,320,111
3100-of-13898,46944960,3766892.08,212,109673,363,151
3101-of-13898,254025265,24553536.1,201,106932,302,101
3102-of-13898,249899589,24294344.79,201,106953,302,101
3103-of-13898,225219649,19336993.86,198,107111,308,109
3104-of-13898,223600229,19167477.79,198,107147,308,109
3105-of-13898,149175320,14087511.29,204,111152,316,112
3106-of-13898,148963329,14067264.4,204,111291,317,113
3107-of-13898,148906546,14067264.4,204,111294,317,113
3108-of-13898,98061937,8540282.67,209,110343,334,125
3109-of-13898,80805582,6522602.06,205,108185,349,144
3110-of-13898,80069497,6361791.4,205,108320,349,144
3111-of-13898,100389900,6256182.8,207,106590,345,139
3112-of-13898,100339998,6254217.05,207,107022,346,139
3113-of-13898,86374737,5594945.32,209,107681,350,141
3114-of-13898,84123078,5452228.58,209,107688,350,141
3115-of-13898,85351482,5947590.53,210,108576,344,135
3116-of-13898,83572342,5720940.88,210,108591,344,135
3117-of-13898,64179870,4512705.79,210,109137,349,138
3118-of-13898,124987135,9468491.14,209,110599,330,121
3119-of-13898,123696328,9304476.87,209,110604,330,121
3120-of-13898,89206848,6621224.5,205,108323,343,139
3121-of-13898,87746075,6502383.33,205,108434,344,139
3122-of-13898,122008536,8312675.81,211,110215,334,123
3123-of-13898,118062841,7983808.36,212,110250,336,124
3124-of-13898,176941002,15199627.43,199,105931,317,118
3125-of-13898,214075434,20737921.04,204,109992,307,103
3126-of-13898,213304955,20723679.79,204,110135,308,103
3127-of-13898,114080180,10399464.19,204,108710,329,125
3128-of-13898,114068038,10388438.94,204,108710,329,125
3129-of-13898,113407521,10349338.24,204,108776,330,126
3130-of-13898,298705195,30332320.8,194,102728,292,98
3131-of-13898,193042772,15983712.14,199,104615,315,116
3132-of-13898,137319918,11617002.5,205,110385,321,116
3133-of-13898,134964627,11503442.58,205,110399,321,116
3134-of-13898,178836821,15913111.98,199,106817,317,118
3135-of-13898,107737849,7344069.85,207,106698,341,134
3136-of-13898,85275126,6473214.05,208,107645,346,139
3137-of-13898,173944889,12853193.26,205,110092,317,112
3138-of-13898,173694973,12814874.64,205,110097,317,112
3139-of-13898,164777381,11351039.01,205,110202,319,113
3140-of-13898,163838599,11279264.71,206,110266,320,114
3141-of-13898,135028356,9610346.06,203,108555,328,125
3142-of-13898,134996920,9610346.06,203,108555,328,125
3143-of-13898,129774424,9302512.36,203,108613,329,127
3144-of-13898,129717342,9302512.36,203,108619,329,127
3145-of-13898,142462653,12405867.3,204,109387,321,117
3146-of-13898,137531727,11457675.35,205,109482,322,118
3147-of-13898,157424668,12243936.75,204,111213,317,113
3148-of-13898,134987451,12546174.98,205,111154,320,115
3149-of-13898,133911025,12341912.06,205,111211,321,115
3150-of-13898,103122101,7312906.94,208,108161,342,133
3151-of-13898,102690215,7308473.63,208,108187,342,133
3152-of-13898,130589136,10687347.45,201,108145,326,125
3153-of-13898,143441022,12662906.33,202,107449,323,121
3154-of-13898,142290271,12575615.4,202,107460,323,121
3155-of-13898,120174812,8772593.54,203,108640,331,127
3156-of-13898,120103003,8772593.54,203,108643,331,127
3157-of-13898,120090889,8761581.08,203,108643,331,127
3158-of-13898,233255547,24932653.66,203,107284,305,102
3159-of-13898,174445211,12533383.01,203,109441,319,117
3160-of-13898,133334338,10725077.22,204,107683,327,124
3161-of-13898,123002383,9480971.34,205,108566,329,125
3162-of-13898,121711575,9316957.07,205,108583,329,125
3163-of-13898,152537099,14263407.66,202,105895,319,117
3164-of-13898,151835288,14145131.33,202,105910,320,118
3165-of-13898,149231638,13867505.75,202,105920,320,118
3166-of-13898,215847709,19893384.4,200,104337,309,110
3167-of-13898,148899589,12856104.69,204,110071,319,115
3168-of-13898,139984568,11723970.61,204,110107,321,117
3169-of-13898,133947464,11019037.01,204,110153,322,117
3170-of-13898,133935350,11008024.55,204,110153,322,117
3171-of-13898,131718254,10925542.82,204,110166,322,117
3172-of-13898,43846257,3339798.5,213,110941,362,148
3173-of-13898,144061690,12623958.76,205,107148,324,118
3174-of-13898,322470500,27631830.71,206,106704,301,96
3175-of-13898,107354992,10819842.82,207,109380,331,124
3176-of-13898,233853878,21810119.15,192,99161,301,109
3177-of-13898,208817611,19338686.88,199,103690,312,112
3178-of-13898,208815325,19338663.4,199,103690,312,112
3179-of-13898,119113115,8852055.2,209,109276,332,123
3180-of-13898,117894939,8729385.96,209,109448,333,124
3181-of-13898,113674590,9726380.85,204,106921,334,130
3182-of-13898,259767335,25542801.25,199,108102,298,99
3183-of-13898,254873593,22867539.62,202,109457,302,100
3184-of-13898,155795762,13270406.14,200,104698,326,125
3185-of-13898,127490340,11415225.46,201,105327,331,130
3186-of-13898,127410368,11398284.19,201,105328,331,130
3187-of-13898,116633967,10351724.27,201,105378,331,131
3188-of-13898,179771388,14353793.88,201,107379,314,112
3189-of-13898,166196905,13198823.02,203,108613,319,116
3190-of-13898,165885029,12936424.37,203,108635,319,116
3191-of-13898,163370182,12756347.06,203,108718,320,117
3192-of-13898,158974269,12265184.62,203,108729,320,117
3193-of-13898,181958814,19988628.67,201,108673,309,108
3194-of-13898,168471807,19172684,201,108796,313,111
3195-of-13898,71010901,4853684.07,211,109735,349,138
3196-of-13898,30356831,2760454.91,214,110750,371,157
3197-of-13898,155401672,14202754.38,203,108297,318,116
3198-of-13898,155329863,14202754.38,203,108300,318,116
3199-of-13898,155314717,14202754.38,203,108305,318,116
3200-of-13898,154847084,14093719.63,203,108310,319,116
3201-of-13898,271908838,27782739.41,196,102848,295,99
3202-of-13898,262210587,26543533.71,199,103876,300,101
3203-of-13898,299618356,27959227.56,195,102493,295,99
3204-of-13898,94918509,6019273.81,205,108533,342,138
3205-of-13898,94314672,5991023.16,205,108546,343,138
3206-of-13898,94284224,5990944.46,205,108547,343,138
3207-of-13898,91568587,5873642.92,205,108558,344,139
3208-of-13898,298921694,26897136.83,198,100914,300,102
3209-of-13898,298873610,26893250.63,198,100914,300,102
3210-of-13898,255174710,23295525.88,203,106808,304,101
3211-of-13898,253812400,23130777.62,203,106816,304,101
3212-of-13898,130165294,9135683.11,205,108064,331,126
3213-of-13898,123146154,8373366.77,205,108324,332,127
3214-of-13898,55814655,5370133.94,208,110441,358,150
3215-of-13898,55433423,5366596.13,208,110512,358,150
3216-of-13898,54478821,5175239.67,208,110530,359,151
3217-of-13898,173190910,14073561.92,210,109812,320,111
3218-of-13898,166123896,13487134.28,210,110013,321,111
3219-of-13898,166088823,13483056.69,210,110021,321,111
3220-of-13898,114005619,12437382.96,201,107284,327,126
3221-of-13898,108177126,11452201.9,201,107298,327,126
3222-of-13898,135249483,11946714.09,202,108762,324,122
3223-of-13898,179016979,16277198.8,198,105548,318,119
3224-of-13898,166609167,18145825.07,202,105543,318,116
3225-of-13898,163692523,18026246.96,202,105559,318,116
3226-of-13898,176442468,15348081.64,201,107472,318,117
3227-of-13898,163542615,14506845.6,201,107645,320,118
3228-of-13898,161848218,13461037.52,204,109058,319,116
3229-of-13898,221831972,19860262.07,205,110190,307,103
3230-of-13898,351310465,36206992.91,190,98226,282,92
3231-of-13898,350470684,36099043.17,190,98333,282,93
3232-of-13898,159987480,13614720.33,200,107133,321,121
3233-of-13898,159132501,12493341.34,200,107447,322,122
3234-of-13898,153546213,12007290.24,200,107538,324,124
3235-of-13898,172821203,15695483.7,203,107285,314,111
3236-of-13898,114055357,8615785.18,204,108376,331,127
3237-of-13898,161533030,11770928.63,206,111090,319,113
3238-of-13898,143361295,13454812.3,202,105738,325,123
3239-of-13898,48217244,4020181.52,210,109064,362,152
3240-of-13898,45153490,3674747.91,210,109083,362,152
3241-of-13898,44033698,3612518.04,211,109542,364,153
3242-of-13898,43277996,3258207.18,211,109542,364,153
3243-of-13898,42748568,3219321.93,211,109798,365,154
3244-of-13898,39839595,2871412.73,212,109943,368,156
3245-of-13898,178767063,16238880.18,198,105553,318,119
3246-of-13898,153848761,13986707.91,199,105951,320,121
3247-of-13898,150920165,13442978.77,200,106383,322,123
3248-of-13898,184157002,19611250.42,202,109932,308,106
3249-of-13898,172180100,18094848.61,204,110701,312,108
3250-of-13898,88451265,7239457.16,206,107609,345,139
3251-of-13898,85325698,7119956.15,206,107622,348,142
3252-of-13898,87647509,5927290.47,207,111192,341,133
3253-of-13898,269072043,22444853.08,202,106249,304,102
3254-of-13898,80463886,5091129.91,209,108540,347,138
3255-of-13898,77554913,4743220.71,210,108685,350,140
3256-of-13898,126865708,10055850.32,205,109693,326,121
3257-of-13898,150120936,12576075.89,204,110086,320,116
3258-of-13898,195865695,15407932.87,200,106171,316,116
3259-of-13898,195723825,15407932.87,200,106200,316,116
3260-of-13898,52619253,3857251.16,213,110213,358,145
3261-of-13898,50194110,3832491.81,213,110290,358,145
3262-of-13898,43275807,3626094.56,213,110390,363,150
3263-of-13898,107092247,11356634.58,202,105699,334,132
3264-of-13898,98327932,10974666.3,204,106952,336,132
3265-of-13898,91592258,10853095.83,204,107042,337,134
3266-of-13898,180832747,14574736.12,201,106925,317,115
3267-of-13898,178306629,14267342.99,202,107109,318,116
3268-of-13898,122539395,8730061.09,205,105731,339,135
3269-of-13898,120039423,8399822.5,205,105858,340,135
3270-of-13898,119761375,8399822.5,205,105936,340,135
3271-of-13898,117858933,8357054.82,205,106117,341,135
3272-of-13898,114245007,7836013.79,207,106289,343,137
3273-of-13898,161202023,12039962.43,205,110742,318,113
3274-of-13898,158789651,11926402.51,205,110788,318,113
3275-of-13898,164473309,13785616.05,202,107610,320,119
3276-of-13898,126213023,13342177.56,204,106728,329,124
3277-of-13898,97827985,6369625.49,210,110559,341,132
3278-of-13898,128114793,8144268.44,207,108943,334,127
3279-of-13898,128066709,8140382.24,207,108943,334,127
3280-of-13898,106620149,8698183.06,206,106388,339,134
3281-of-13898,106119648,8660344.06,206,106644,340,134
3282-of-13898,142336560,13236031.12,205,106881,323,118
3283-of-13898,79176309,6626706.28,206,109440,344,138
3284-of-13898,170501759,15549120.66,203,105803,319,116
3285-of-13898,169268151,15457943.53,203,105820,320,116
3286-of-13898,139954992,14293689.13,210,109967,325,114
3287-of-13898,139705076,14255370.51,210,109972,325,114
3288-of-13898,136923253,13978176.5,210,109986,325,115
3289-of-13898,178892987,17138630.42,201,107348,314,114
3290-of-13898,155766522,11442438.61,205,108965,320,115
3291-of-13898,154007983,11247260.87,205,108971,320,115
3292-of-13898,191927522,20027116.71,200,105087,308,108
3293-of-13898,151258653,11937955.44,201,107590,324,124
3294-of-13898,165649151,12181969.61,203,108706,320,117
3295-of-13898,163780058,11986487.1,203,108739,320,117
3296-of-13898,118730430,8187964.2,204,109247,332,127
3297-of-13898,114904082,7951225.9,204,109267,334,129
3298-of-13898,157402019,14176433.61,206,109147,319,113
3299-of-13898,96387108,8510675.28,204,107407,348,144
3300-of-13898,77698847,6632862.19,206,108533,352,146
3301-of-13898,122394858,8345025.59,204,109124,330,126
3302-of-13898,121998925,8309693.57,204,109128,330,126
3303-of-13898,283498061,29575077.2,196,103209,295,99
3304-of-13898,169164774,13531118.67,202,106678,322,120
3305-of-13898,163504237,13970389.72,200,107126,319,119
3306-of-13898,163469260,13969129.13,200,107126,319,119
3307-of-13898,135598712,12874480.94,205,108974,322,117
3308-of-13898,135418532,12844318.33,205,108975,322,117
3309-of-13898,134451922,12753727.81,206,109082,323,117
3310-of-13898,310218621,32716965.75,196,102557,294,98
3311-of-13898,307001039,32654494.76,196,102571,294,98
3312-of-13898,91760057,6822406.18,208,111405,339,130
3313-of-13898,184466984,18031451.44,202,106864,312,109
3314-of-13898,181260295,17765885.06,202,106897,312,110
3315-of-13898,164517221,17069408.79,203,107307,315,112
3316-of-13898,145569570,14974441.91,203,107384,316,113
3317-of-13898,153411590,11484736.54,205,110783,320,115
3318-of-13898,128485982,9890728,208,110463,324,116
3319-of-13898,126033282,9060779.52,208,110813,327,119
3320-of-13898,121659479,8786358.98,208,110839,328,119
3321-of-13898,117650165,8203539.71,210,111136,333,123
3322-of-13898,298155309,27799109.55,203,106626,299,97
3323-of-13898,115152984,10447404.9,203,108083,329,126
3324-of-13898,114168789,10337092.07,203,108112,329,126
3325-of-13898,114118887,10335126.32,204,108545,330,126
3326-of-13898,262925615,24416991.81,206,108949,305,99
3327-of-13898,283517989,29579154.79,196,103205,295,99
3328-of-13898,283086103,29574721.48,196,103215,295,99
3329-of-13898,158919000,14647127.31,203,109993,315,112
3330-of-13898,158350245,14569309.18,203,110010,316,113
3331-of-13898,109826782,9472416.76,202,107096,342,140
3332-of-13898,109273171,9394598.63,203,107105,343,140
3333-of-13898,145918298,13967681.24,202,105890,323,121
3334-of-13898,227076249,21714201.97,203,108652,306,103
3335-of-13898,148451828,15187120.78,204,106912,320,117
3336-of-13898,171519727,15327506.35,199,104356,319,120
3337-of-13898,125506491,10735743.47,202,106143,330,128
3338-of-13898,125465732,10727085.55,202,106144,330,128
3339-of-13898,177646007,13321113.95,202,107407,319,117
3340-of-13898,156119568,11759302.65,202,107700,320,119
3341-of-13898,117546226,7924880.8,204,109257,333,129
3342-of-13898,116870747,7882441.25,204,109275,334,129
3343-of-13898,273014490,22779056.98,200,107670,301,101
3344-of-13898,162198253,15822541.37,199,105220,320,121
3345-of-13898,161136567,15780259.75,199,105261,321,122
3346-of-13898,150712214,14614433.92,199,105411,322,123
3347-of-13898,142307110,14231351.94,211,110142,325,114
3348-of-13898,139929954,13909753.61,211,110162,325,114
3349-of-13898,145114146,11974010.09,205,109675,322,117
3350-of-13898,142351329,11748322.02,205,109714,322,117
3351-of-13898,139098005,11448983.53,205,109976,323,118
3352-of-13898,136742715,11335423.61,205,110016,323,118
3353-of-13898,136466851,8775553.6,206,110012,329,123
3354-of-13898,259940757,21576270.67,198,106878,301,103
3355-of-13898,259506585,21571813.88,198,106888,301,103
3356-of-13898,251277615,25226547.8,197,103719,299,102
3357-of-13898,233993304,24316612.14,199,104934,302,103
3358-of-13898,204633892,18909803.38,203,108799,309,106
3359-of-13898,201655622,18526444.39,203,108844,309,106
3360-of-13898,84076404,7132231.32,206,107482,350,144
3361-of-13898,170844099,16367173.24,200,107186,317,117
3362-of-13898,124669566,9240943.35,203,109070,327,124
3363-of-13898,124020613,9128017.46,203,109080,327,124
3364-of-13898,155034593,15238160.24,203,105463,322,119
3365-of-13898,153438272,15208149.63,203,105464,324,121
3366-of-13898,151703578,15127979.91,203,105487,325,122
3367-of-13898,52962521,4068644.1,209,110216,367,157
3368-of-13898,48430644,2681568.89,213,110196,364,150
3369-of-13898,44006281,2497559.69,213,110253,367,153
3370-of-13898,199605337,17299422,204,111266,308,104
3371-of-13898,198404236,16971420.27,204,111278,308,104
3372-of-13898,122755803,9444376.01,206,106758,334,128
3373-of-13898,118002173,9146426.25,206,106781,334,128
3374-of-13898,116923422,9146426.25,207,106963,334,128
3375-of-13898,327715609,30275865.4,196,102976,291,95
3376-of-13898,236912959,20867178.36,199,107153,303,104
3377-of-13898,236862692,20866735.33,199,107158,303,104
3378-of-13898,241820491,21878222.85,199,107331,302,103
3379-of-13898,235448418,21153031.88,199,107376,303,104
3380-of-13898,241273504,20679147.49,207,109896,309,101
3381-of-13898,107302738,8323328.16,210,110942,333,123
3382-of-13898,140597738,12922796.95,202,107235,323,121
3383-of-13898,132875213,11282961.13,203,107779,327,124
3384-of-13898,127294640,10418290.96,203,107843,327,124
3385-of-13898,122240329,9568863.96,203,107938,328,124
3386-of-13898,129109614,11630336.14,203,110663,323,119
3387-of-13898,127355384,11587896.59,204,110863,324,120
3388-of-13898,156981968,12635073.36,204,109561,320,116
3389-of-13898,277386440,26114278.25,198,106989,296,98
3390-of-13898,46448456,3391897.04,213,110350,361,148
3391-of-13898,54597603,4032698.71,212,109713,355,143
3392-of-13898,50287191,3889147.71,212,109792,358,146
3393-of-13898,50246432,3880489.79,212,109793,358,146
3394-of-13898,49751980,3842865.13,213,110048,359,146
3395-of-13898,167172091,13540601.59,204,105770,323,119
3396-of-13898,167011824,13278202.94,204,105770,323,120
3397-of-13898,231838548,17546549.94,207,109732,311,104
3398-of-13898,219684486,16092073.83,207,109964,312,105
3399-of-13898,219252600,16087640.52,207,109974,312,105
3400-of-13898,50722313,5317120.35,212,110277,358,146
3401-of-13898,45628864,4989523.9,213,110527,360,147
3402-of-13898,43088303,4880368.07,213,110539,360,147
3403-of-13898,79857313,5519318.54,208,111278,346,138
3404-of-13898,135711348,12312752.21,202,105434,326,125
3405-of-13898,132440207,12221599.39,201,107171,323,122
3406-of-13898,131473597,12131008.87,201,107278,323,122
3407-of-13898,50199563,4046293.08,211,109428,362,151
3408-of-13898,245717852,23967469.82,199,105211,302,103
3409-of-13898,48994422,3454196.31,214,110849,358,144
3410-of-13898,159522941,13649366.27,207,108501,323,115
3411-of-13898,157653848,13453883.76,207,108534,323,115
3412-of-13898,58511920,4767000.88,213,110971,352,139
3413-of-13898,55411431,3837604.28,213,111083,354,141
3414-of-13898,81087383,7286771.41,205,109362,342,137
3415-of-13898,77910911,6965531.92,206,109555,344,138
3416-of-13898,77024163,5913021.41,206,109894,345,139
3417-of-13898,132872251,8798934.1,206,106295,337,130
3418-of-13898,116952263,8145352.95,204,107474,337,133
3419-of-13898,205404264,21754408.92,203,107773,308,105
3420-of-13898,86217022,10765798.33,206,107003,344,137
3421-of-13898,69191622,9226108.54,208,108272,347,139
3422-of-13898,68164247,9153199.45,208,108279,348,140
3423-of-13898,227233956,23375256.69,202,108411,305,102
3424-of-13898,46400889,3612813.76,213,110284,362,148
3425-of-13898,45234647,2892951.99,214,110485,363,149
3426-of-13898,44109812,2735518.74,214,110531,364,150
3427-of-13898,81957302,5447126.76,210,110613,344,134
3428-of-13898,199939551,19416641.2,199,103218,314,114
3429-of-13898,139383587,13670158.34,201,105051,327,126
3430-of-13898,136403593,12722691.65,202,105233,328,126
3431-of-13898,134457087,12644882.35,202,105244,328,126
3432-of-13898,131353665,12296973.15,202,105404,331,129
3433-of-13898,49317950,3485179.69,213,110338,359,146
3434-of-13898,49305695,3483812.14,213,110338,359,146
3435-of-13898,49270719,3482551.55,213,110338,359,146
3436-of-13898,237219759,20087458.38,202,109643,304,102
3437-of-13898,229516992,19566986.55,202,109682,304,103
3438-of-13898,228711468,19329977.23,202,109753,304,103
3439-of-13898,95682402,6510187.63,205,108515,342,137
3440-of-13898,91912289,6298437.34,205,108538,345,139
3441-of-13898,158813888,11926188.17,205,110787,318,113
3442-of-13898,154407053,11326482.7,205,110798,320,115
3443-of-13898,136895055,11413627.1,204,110196,322,118
3444-of-13898,136187437,11063202.44,204,110196,322,118
3445-of-13898,90994762,6791764.74,205,108175,343,138
3446-of-13898,90684705,6756084.15,205,108192,344,139
3447-of-13898,160443971,14484625.2,204,105349,325,121
3448-of-13898,216970714,19022832.5,200,105302,308,108
3449-of-13898,210936160,18803894.98,200,105402,308,109
3450-of-13898,190227654,17408806.7,200,105603,311,111
3451-of-13898,181754869,16727851.81,200,105684,312,112
3452-of-13898,179757280,16570153.7,201,105849,314,113
3453-of-13898,179168693,16491074.98,201,105858,314,113
3454-of-13898,157861649,13256457.3,203,109427,320,117
3455-of-13898,149907058,13867664.19,204,110195,318,114
3456-of-13898,148853394,13856797.44,204,110206,318,114
3457-of-13898,106121160,7341343.76,208,109756,337,129
3458-of-13898,91536733,6711408.44,209,110450,339,130
3459-of-13898,90457982,6711408.44,209,110632,340,130
3460-of-13898,240613931,20924399.76,204,109327,306,102
3461-of-13898,256898285,26017886.43,198,103787,299,101
3462-of-13898,101543105,6924288.19,208,108125,341,133
3463-of-13898,89093478,5977715.02,209,108486,344,135
3464-of-13898,290459061,28557670.19,196,102794,294,98
3465-of-13898,113009816,8781157.77,205,109309,331,126
3466-of-13898,285231638,25570725.63,200,104137,299,100
3467-of-13898,285204843,25570725.63,200,104142,300,100
3468-of-13898,84168561,6642041.39,205,107877,352,147
3469-of-13898,80985680,6216125.35,205,107945,352,147
3470-of-13898,168617744,13544295.12,200,105289,322,121
3471-of-13898,167041672,13223028.96,200,105326,322,122
3472-of-13898,165011735,13138272.75,200,105341,324,124
3473-of-13898,79513736,5491030.62,211,111232,345,134
3474-of-13898,78067586,5337951.63,211,111240,345,135
3475-of-13898,77365774,5219675.3,211,111255,346,135
3476-of-13898,111820321,8877471.96,206,111197,328,121
3477-of-13898,211638899,18223148.32,205,110268,309,104
3478-of-13898,206803294,17954237.88,205,110434,310,104
3479-of-13898,236089844,21272185.49,196,102596,304,109
3480-of-13898,167507141,15718936.73,201,104188,322,122
3481-of-13898,157594599,16050076.56,201,107670,315,114
3482-of-13898,151171746,15172527.8,202,107916,317,115
3483-of-13898,171803060,13912325.66,204,110318,315,111
3484-of-13898,99162435,9703179.75,210,110958,334,123
3485-of-13898,98615379,9703179.75,211,111055,334,123
3486-of-13898,63793649,6022971.9,209,109007,350,140
3487-of-13898,66351332,4537196.55,208,109861,354,146
3488-of-13898,66199013,4516729.55,208,109862,355,146
3489-of-13898,66167577,4516729.55,208,109862,355,146
3490-of-13898,53925572,3649559.53,213,110604,358,145
3491-of-13898,193304598,16539238.36,203,110139,310,107
3492-of-13898,162617672,14241999.32,203,110465,313,110
3493-of-13898,332639308,29509383.33,199,103857,293,94
3494-of-13898,77924465,5768570.17,206,108245,354,149
3495-of-13898,153819513,12754547.74,202,108827,320,118
3496-of-13898,141423111,12283130.27,202,108943,322,120
3497-of-13898,126976267,10779615.08,203,109140,324,122
3498-of-13898,65139491,4911877.16,209,110985,352,143
3499-of-13898,82072929,5968086.35,209,110370,343,134
3500-of-13898,80131084,5925785.2,209,110388,343,134
3501-of-13898,79770580,5895574.31,209,110391,344,135
3502-of-13898,151492074,15309522.45,202,107548,319,117
